,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
0,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","RT MikeHudema The trains in the Netherlands are  windpowered Over  trips a day  renewable

We have the solutions Implem…","['rt', 'mikehudema', 'the', 'trains', 'in', 'the', 'netherlands', 'are', 'windpowered', 'over', 'trips', 'a', 'day', 'renewable', 'we', 'have', 'the', 'solutions', 'implem', '']","['rt', 'mikehudema', 'trains', 'netherlands', 'windpowered', 'trips', 'day', 'renewable', 'solutions', 'implem', '']","['rt', 'mikehudema', 'train', 'netherland', 'windpow', 'trip', 'day', 'renew', 'solut', 'implem', '']","['rt', 'mikehudema', 'train', 'netherlands', 'windpowered', 'trip', 'day', 'renewable', 'solution', 'implem', '']"
1,RT @sabaeitizaz: A third of #Pakistan is underwater due to cataclysmic floods. For a country whose contribution to global emissions is less…,RT sabaeitizaz A third of Pakistan is underwater due to cataclysmic floods For a country whose contribution to global emissions is less…,"['rt', 'sabaeitizaz', 'a', 'third', 'of', 'pakistan', 'is', 'underwater', 'due', 'to', 'cataclysmic', 'floods', 'for', 'a', 'country', 'whose', 'contribution', 'to', 'global', 'emissions', 'is', 'less', '']","['rt', 'sabaeitizaz', 'third', 'pakistan', 'underwater', 'due', 'cataclysmic', 'floods', 'country', 'whose', 'contribution', 'global', 'emissions', 'less', '']","['rt', 'sabaeitizaz', 'third', 'pakistan', 'underwat', 'due', 'cataclysm', 'flood', 'countri', 'whose', 'contribut', 'global', 'emiss', 'less', '']","['rt', 'sabaeitizaz', 'third', 'pakistan', 'underwater', 'due', 'cataclysmic', 'flood', 'country', 'whose', 'contribution', 'global', 'emission', 'le', '']"
2,"RT @samirsaran: A nexus of multiple crises: #Energy, #Debt, #Climate, #Food- Can the #G20 respond?

#Multilateralism undone by its custodia…","RT samirsaran A nexus of multiple crises Energy Debt Climate Food Can the G respond

Multilateralism undone by its custodia…","['rt', 'samirsaran', 'a', 'nexus', 'of', 'multiple', 'crises', 'energy', 'debt', 'climate', 'food', 'can', 'the', 'g', 'respond', 'multilateralism', 'undone', 'by', 'its', 'custodia', '']","['rt', 'samirsaran', 'nexus', 'multiple', 'crises', 'energy', 'debt', 'climate', 'food', 'g', 'respond', 'multilateralism', 'undone', 'custodia', '']","['rt', 'samirsaran', 'nexu', 'multipl', 'crise', 'energi', 'debt', 'climat', 'food', 'g', 'respond', 'multilater', 'undon', 'custodia', '']","['rt', 'samirsaran', 'nexus', 'multiple', 'crisis', 'energy', 'debt', 'climate', 'food', 'g', 'respond', 'multilateralism', 'undone', 'custodia', '']"
3,RT @pollyjhemming: Aus has an arbitrary defence spending 'target' of 2% of GDP every yr ($48bil in 2021) – for stuff we'll probably never u…,RT pollyjhemming Aus has an arbitrary defence spending target of  of GDP every yr bil in  – for stuff well probably never u…,"['rt', 'pollyjhemming', 'aus', 'has', 'an', 'arbitrary', 'defence', 'spending', 'target', 'of', 'of', 'gdp', 'every', 'yr', 'bil', 'in', 'for', 'stuff', 'well', 'probably', 'never', 'u', '']","['rt', 'pollyjhemming', 'aus', 'arbitrary', 'defence', 'spending', 'target', 'gdp', 'every', 'yr', 'bil', 'stuff', 'well', 'probably', 'never', 'u', '']","['rt', 'pollyjhem', 'au', 'arbitrari', 'defenc', 'spend', 'target', 'gdp', 'everi', 'yr', 'bil', 'stuff', 'well', 'probabl', 'never', 'u', '']","['rt', 'pollyjhemming', 'au', 'arbitrary', 'defence', 'spending', 'target', 'gdp', 'every', 'yr', 'bil', 'stuff', 'well', 'probably', 'never', 'u', '']"
4,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","RT MikeHudema The trains in the Netherlands are  windpowered Over  trips a day  renewable

We have the solutions Implem…","['rt', 'mikehudema', 'the', 'trains', 'in', 'the', 'netherlands', 'are', 'windpowered', 'over', 'trips', 'a', 'day', 'renewable', 'we', 'have', 'the', 'solutions', 'implem', '']","['rt', 'mikehudema', 'trains', 'netherlands', 'windpowered', 'trips', 'day', 'renewable', 'solutions', 'implem', '']","['rt', 'mikehudema', 'train', 'netherland', 'windpow', 'trip', 'day', 'renew', 'solut', 'implem', '']","['rt', 'mikehudema', 'train', 'netherlands', 'windpowered', 'trip', 'day', 'renewable', 'solution', 'implem', '']"
5,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,RT MikeHudema  of Costa Ricas power already comes from renewables Half of the land is covered by forest Theyre aiming to transfor…,"['rt', 'mikehudema', 'of', 'costa', 'ricas', 'power', 'already', 'comes', 'from', 'renewables', 'half', 'of', 'the', 'land', 'is', 'covered', 'by', 'forest', 'theyre', 'aiming', 'to', 'transfor', '']","['rt', 'mikehudema', 'costa', 'ricas', 'power', 'already', 'comes', 'renewables', 'half', 'land', 'covered', 'forest', 'theyre', 'aiming', 'transfor', '']","['rt', 'mikehudema', 'costa', 'rica', 'power', 'alreadi', 'come', 'renew', 'half', 'land', 'cover', 'forest', 'theyr', 'aim', 'transfor', '']","['rt', 'mikehudema', 'costa', 'ricas', 'power', 'already', 'come', 'renewables', 'half', 'land', 'covered', 'forest', 'theyre', 'aiming', 'transfor', '']"
6,"RT @EarthKeeper22: When you have to carry your own #water, you #understand the #value of every drop... 🦋LJC

#Climate #FossilFuels #Frackin…","RT EarthKeeper When you have to carry your own water you understand the value of every drop 🦋LJC

Climate FossilFuels Frackin…","['rt', 'earthkeeper', 'when', 'you', 'have', 'to', 'carry', 'your', 'own', 'water', 'you', 'understand', 'the', 'value', 'of', 'every', 'drop', 'ljc', 'climate', 'fossilfuels', 'frackin', '']","['rt', 'earthkeeper', 'carry', 'water', 'understand', 'value', 'every', 'drop', 'ljc', 'climate', 'fossilfuels', 'frackin', '']","['rt', 'earthkeep', 'carri', 'water', 'understand', 'valu', 'everi', 'drop', 'ljc', 'climat', 'fossilfuel', 'frackin', '']","['rt', 'earthkeeper', 'carry', 'water', 'understand', 'value', 'every', 'drop', 'ljc', 'climate', 'fossilfuels', 'frackin', '']"
7,"RT @MikeHudema: This mobile #solar plant can be set up anywhere and generate 3x the power of a domestic solar array.

We have the solutions…","RT MikeHudema This mobile solar plant can be set up anywhere and generate x the power of a domestic solar array

We have the solutions…","['rt', 'mikehudema', 'this', 'mobile', 'solar', 'plant', 'can', 'be', 'set', 'up', 'anywhere', 'and', 'generate', 'x', 'the', 'power', 'of', 'a', 'domestic', 'solar', 'array', 'we', 'have', 'the', 'solutions', '']","['rt', 'mikehudema', 'mobile', 'solar', 'plant', 'set', 'anywhere', 'generate', 'x', 'power', 'domestic', 'solar', 'array', 'solutions', '']","['rt', 'mikehudema', 'mobil', 'solar', 'plant', 'set', 'anywher', 'gener', 'x', 'power', 'domest', 'solar', 'array', 'solut', '']","['rt', 'mikehudema', 'mobile', 'solar', 'plant', 'set', 'anywhere', 'generate', 'x', 'power', 'domestic', 'solar', 'array', 'solution', '']"
8,"RT @IFPRISAO: #HappeningNow 
Women farmers are a crucial resource in #agriculture &amp; to build sustainable, #climate-resilient #foodsystems.…","RT IFPRISAO HappeningNow 
Women farmers are a crucial resource in agriculture amp to build sustainable climateresilient foodsystems…","['rt', 'ifprisao', 'happeningnow', 'women', 'farmers', 'are', 'a', 'crucial', 'resource', 'in', 'agriculture', 'amp', 'to', 'build', 'sustainable', 'climateresilient', 'foodsystems', '']","['rt', 'ifprisao', 'happeningnow', 'women', 'farmers', 'crucial', 'resource', 'agriculture', 'amp', 'build', 'sustainable', 'climateresilient', 'foodsystems', '']","['rt', 'ifprisao', 'happeningnow', 'women', 'farmer', 'crucial', 'resourc', 'agricultur', 'amp', 'build', 'sustain', 'climateresili', 'foodsystem', '']","['rt', 'ifprisao', 'happeningnow', 'woman', 'farmer', 'crucial', 'resource', 'agriculture', 'amp', 'build', 'sustainable', 'climateresilient', 'foodsystems', '']"
9,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…","RT MikeHudema Over  scientists from  countries have banded together to declare a climateemergency Listen to them

There is no…","['rt', 'mikehudema', 'over', 'scientists', 'from', 'countries', 'have', 'banded', 'together', 'to', 'declare', 'a', 'climateemergency', 'listen', 'to', 'them', 'there', 'is', 'no', '']","['rt', 'mikehudema', 'scientists', 'countries', 'banded', 'together', 'declare', 'climateemergency', 'listen', '']","['rt', 'mikehudema', 'scientist', 'countri', 'band', 'togeth', 'declar', 'climateemerg', 'listen', '']","['rt', 'mikehudema', 'scientist', 'country', 'banded', 'together', 'declare', 'climateemergency', 'listen', '']"
