text,author_id,created_at,en
"RT @DrRanisharma21: Where is grap, improvement? We r living in gas chamber @ArvindKejriwal @AapKaGopalRai @sunitanar @CPCB_OFFICIAL @narend…",944564902210846720,2022-11-08 23:53:43+00:00,en
"That's great, the level is below 5 ugr/m3. Temperature is 13.30 C. Wind direction is SSW. Dust level #PM10 is: 4.88ugr/m3. Dust level #PM2.5 is: 1.50ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten",1132632291493187586,2022-11-08 23:49:05+00:00,en
RT @GwneudYTro: @CleanAirForCDF @VelindreTrust @MarcPalmer75 @CardiffSave @JackieJonesWal1 @katecarrcdf @JGreen_CDF @JulieMorganLAB Over pa…,1282936167487373312,2022-11-08 23:48:18+00:00,en
RT @CleanAirCAC: In order to create lasting solutions to #airpollution &amp; #climatechange we need to include all stakeholders in the conversa…,3039070168,2022-11-08 23:46:57+00:00,en
"RT @icareforlungs: ""When we stop #airpollution, we will save millions of lives, trillions of dollars and future generations from the ravage…",3039070168,2022-11-08 23:45:36+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",1962432751,2022-11-08 23:45:23+00:00,en
"RT @OEHHA: Interested in hazard ID &amp; exposure evaluation, including for #AirPollution? Want to communicate chemical hazards to the public?…",987475442541084673,2022-11-08 23:43:27+00:00,en
"RT @AirQoProject: At #COP27 we’ll be focusing on how we’re championing inclusive and evidence-driven action in 3 African cities -Cape Town,…",1215232848,2022-11-08 23:41:21+00:00,en
"The reusable mask which can save thousands of disposable masks from the ocean.
#totobobo #reusablemask #climatechange #ecofriendly #AirPollution https://t.co/eT6JQcoZCk",16797754,2022-11-08 23:38:08+00:00,en
"RT @HighburyLtn: Some great early research which shows Air Quality improving on main roads AS WELL AS side roads here in @IslingtonBC 
Than…",1336272880682868736,2022-11-08 23:32:37+00:00,en
RT @AsthmaAustralia: More deaths are caused from #airpollution each year world-wide than all deaths caused by COVID-19.  Victorians went th…,1389910585190490116,2022-11-08 23:28:09+00:00,en
RT @CleanAirCAC: Interested in learning how cities can create lasting solutions to #airpollution and #climatechange while including members…,1296742895236440065,2022-11-08 23:24:39+00:00,en
RT @CleanAirCAC: How can we fix the disconnect between local action and national climate commitments? Listen to suggestions from panelists…,1296742895236440065,2022-11-08 23:23:26+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",46841910,2022-11-08 23:22:13+00:00,en
RT @CleanAirCAC: Interested in learning how cities can create lasting solutions to #airpollution and #climatechange while including members…,1551845884920414208,2022-11-08 23:21:51+00:00,en
"That's great, the level is below 5 ugr/m3. Temperature is 13.40 C. Wind direction is S. Dust level #PM10 is: 4.07ugr/m3. Dust level #PM2.5 is: 1.50ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten",1132632291493187586,2022-11-08 23:19:05+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",1426623973782065152,2022-11-08 23:16:36+00:00,en
RT @CleanAirCAC: How can we fix the disconnect between local action and national climate commitments? Listen to suggestions from panelists…,1551845884920414208,2022-11-08 23:14:42+00:00,en
RT @LittleNinjaUK: @GCHUOxford @audreydenazelle @imperialcollege @sustainable_urb @DannyYee @cycloxoxford @OxLivSts @CoHSATOxon @Urban_Turb…,1320381280345874433,2022-11-08 23:09:58+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",1457715632158375943,2022-11-08 23:09:44+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",1551531102204207104,2022-11-08 23:08:08+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",420541403,2022-11-08 23:07:15+00:00,en
"RT @SEIresearch: Today is #WorldVentil8Day!

Good air flow is important to remove #AirPollutants generated inside buildings.  

The INGENIO…",114598868,2022-11-08 22:58:48+00:00,en
"RT @airnewsalerts: Air quality in Delhi slightly improves from severe to very poor category, Air Quality Index stands at 357.

#AirPollution",1560510461275426816,2022-11-08 22:52:11+00:00,en
RT @airnewsalerts: Science and Technology Minister @DrJitendraSingh cautions that #AirPollution related stubble burning cases have risen by…,1560510461275426816,2022-11-08 22:49:36+00:00,en
"That's not so great, but the level is at least below 10 ugr/m3. Temperature is 13.50 C. Wind direction is S. Dust level #PM10 is: 5.82ugr/m3. Dust level #PM2.5 is: 1.58ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten",1132632291493187586,2022-11-08 22:49:05+00:00,en
"People of #Delhi, suffering from all front's, a useless CM, #AirPollution and regular #delhiearthquake be like ; https://t.co/YUKE3q14Qd",1584434916426919936,2022-11-08 22:47:50+00:00,en
"RT @ModernEcology: New Mexico's #AirPollution visible from space, methane from operations suspected as source
 #Ecology #SaveOurPlanet http…",141009810,2022-11-08 22:47:19+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",1473485044018601984,2022-11-08 22:46:29+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",265480283,2022-11-08 22:45:52+00:00,en
"New Mexico's #AirPollution visible from space, methane from operations suspected as source
 #Ecology #SaveOurPlanet https://t.co/ADmAWtTgxs",1518662944522919939,2022-11-08 22:44:40+00:00,en
RT @CleanAirCAC: Interested in learning how cities can create lasting solutions to #airpollution and #climatechange while including members…,1505498724080164865,2022-11-08 22:44:35+00:00,en
"RT @WHONigeria: Every year, exposure to #AirPollution causes millions of deaths.
 
To save lives and achieve #HealthForAll, let's align our…",1184378293958729728,2022-11-08 22:43:43+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",1184378293958729728,2022-11-08 22:42:22+00:00,en
"RT @courtghoward: Urban heat island at #COP27:
Incentive for delegates to advocate for life-saving #Adaptation solutions like:🌳🌴🌲!
⬇️heat i…",963234811803398144,2022-11-08 22:34:18+00:00,en
"More deaths are caused from #airpollution each year world-wide than all deaths caused by COVID-19.  Victorians went through lockdowns and outbreaks, but also breathe in air pollution #woodheaters #smoke #fairgoforVictorians @LilyDAmbrosioMP @newbury3186 @SamanthaRatnam https://t.co/cLpU7GYAlR",744452610,2022-11-08 22:30:00+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",1029090416790888448,2022-11-08 22:21:40+00:00,en
RT @LittleNinjaUK: @GCHUOxford @audreydenazelle @imperialcollege @sustainable_urb @DannyYee @cycloxoxford @OxLivSts @CoHSATOxon @Urban_Turb…,1368056846,2022-11-08 22:21:34+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",4881758986,2022-11-08 22:20:58+00:00,en
"That's great, the level is below 5 ugr/m3. Temperature is 13.50 C. Wind direction is undefined. Dust level #PM10 is: 3.28ugr/m3. Dust level #PM2.5 is: 1.40ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten",1132632291493187586,2022-11-08 22:19:08+00:00,en
"RT @WHO: Every year, exposure to #AirPollution causes millions of deaths.
 
To save lives and achieve #HealthForAll, let's align our effort…",1070704471209070592,2022-11-08 22:18:24+00:00,en
RT @LittleNinjaUK: @HarryHamishGray @GCHUOxford @audreydenazelle @imperialcollege @sustainable_urb @DannyYee @cycloxoxford @OxLivSts @CoHSA…,1510992870995542016,2022-11-08 22:15:44+00:00,en
"@subu_caps I have not moved from Twitter but from what I have read, Mastodon seems very compartmentalized. May be more comfortable to some people who just want to talk to their peers but I prefer to be able to discuss with anybody interested by #AirQuality #AirPollution, and related topics",3391969427,2022-11-08 22:12:29+00:00,en
RT @CleanAirCAC: #DYK #airpollution and #climate emissions share sources? That’s why the focused reduction of air pollutants is critical to…,1567598900122644481,2022-11-08 22:09:24+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",1396961161,2022-11-08 22:08:50+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",1534717684818006016,2022-11-08 22:01:03+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",1347566114,2022-11-08 21:53:37+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",1563172749639839745,2022-11-08 21:53:08+00:00,en
"Meanwhile, Delhiites after witnessing #AirPollution &amp; #earthquake now😀: 
#earthquakeindelhi #earthquakeindia 
#DelhiAirPollution #delhiaqi https://t.co/NEmujJCZR4",97931443,2022-11-08 21:52:24+00:00,en
RT @LittleNinjaUK: @HarryHamishGray @GCHUOxford @audreydenazelle @imperialcollege @sustainable_urb @DannyYee @cycloxoxford @OxLivSts @CoHSA…,1298355466133700610,2022-11-08 21:51:39+00:00,en
RT @LittleNinjaUK: @GCHUOxford @audreydenazelle @imperialcollege @sustainable_urb @DannyYee @cycloxoxford @OxLivSts @CoHSATOxon @Urban_Turb…,1298355466133700610,2022-11-08 21:51:30+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",45830303,2022-11-08 21:50:05+00:00,en
"That's great, the level is below 5 ugr/m3. Temperature is 13.90 C. Wind direction is undefined. Dust level #PM10 is: 3.03ugr/m3. Dust level #PM2.5 is: 1.40ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten",1132632291493187586,2022-11-08 21:49:08+00:00,en
"RT @WHO: The #ClimateCrisis is a health crisis. 

➡ #AirPollution 
➡ Heatwaves 
➡ Wildfires 
➡ Floods 
➡ Droughts  

&amp; other extreme weathe…",20327958,2022-11-08 21:48:46+00:00,en
"Around 2 AM #Delhi people felt #earthquake 😔🤔 ? Already people of Delhi facing heavy #AirPollution and now this another natural calamity an #actofgod. Hope and Wish all are fine now. Allah bless each and everyone. Amin 🤲🤲

#DelhiPollution #delhiearthquake",120489874,2022-11-08 21:43:23+00:00,en
RT @LittleNinjaUK: @HarryHamishGray @GCHUOxford @audreydenazelle @imperialcollege @sustainable_urb @DannyYee @cycloxoxford @OxLivSts @CoHSA…,1335169040483016704,2022-11-08 21:39:40+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",925111455430606848,2022-11-08 21:36:29+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",1377616280086269952,2022-11-08 21:33:44+00:00,en
"RT @MumsForLungs: ""Opening windows, drying washing, gardening, exercising in the garden, children’s playtime, entertaining visitors, birthd…",409449191,2022-11-08 21:33:15+00:00,en
"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…",1491111468401831937,2022-11-08 21:31:14+00:00,en
"RT @greenmattbfd: Disappointing to see Labour-run Leicester City Council shy away from bold action to tackle #AirPollution in the city.

A…",144447012,2022-11-08 21:29:37+00:00,en
