,user_name,user_location,user_description,user_verified,date,text,hashtags,source
10,Melody Moon,london 2014,Love all creatures cats r magic We don't like abusers they must Evolve & Wake Up don't bully Be kind I will always stand up 4 the voiceless I'm Vegan&feel great,False,2022-09-27 04:44:42+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter Web App
11,_badboybluez,,"embrace gratitude at every opportunity•
(they/them)•
occupied coast salish territory•",False,2022-09-27 04:44:36+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter Web App
12,LovingVeg,,"Love healthy tasty vegetarian recipes (mine on IG). ❤️ birds, gardening, rainforest, compost, off the grid, zero waste, sustainability, early retirement, FIRE",False,2022-09-27 04:44:29+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for iPhone
13,ScienceStop,,Hi visitor! I'm a friendly bot. Follow me for (infreqnt) re/tweets on #scicomm #scipol #scidip #sciart & inclusivity in STEM. By @PragyaChaube,False,2022-09-27 04:44:25+00:00,"RT @AustNuclear: Weather research in space :) 

#AustralianSpaceIndustry #HerSpaceAus #WomenInSTEM #WomenInSpace #climate https://t.co/MRk6…","['AustralianSpaceIndustry', 'HerSpaceAus', 'WomenInSTEM', 'WomenInSpace', 'climate']",SciBot
14,AustNuclearAssoc,Australia,The Australian Nuclear Association Inc (ANA) promotes the use of nuclear science and technology in Australia.,False,2022-09-27 04:44:20+00:00,"Weather research in space :) 

#AustralianSpaceIndustry #HerSpaceAus #WomenInSTEM #WomenInSpace #climate https://t.co/MRk60UHWlw","['AustralianSpaceIndustry', 'HerSpaceAus', 'WomenInSTEM', 'WomenInSpace', 'climate']",Twitter Web App
15,Elisabeth Köster,,KOMPETENS - INTE KVOTERING. Endast döda fiskar följer med strömmen.,False,2022-09-27 04:43:46+00:00,"RT @NiklasSWE1: Here we go again - ""Two weeks to flatten the curve""...

#NWO #Climate #AccordingToPlan https://t.co/9zh8flkoRh","['NWO', 'Climate', 'AccordingToPlan']",Twitter for iPhone
16,MapsofIndia.com,India,"India's First, Largest and Most Popular Mapping Website since 1998. Those who learned India with Mapsofindia now teach their Children using MapsofIndia",False,2022-09-27 04:43:45+00:00,"#Kerala is situated on the #southwestern tip of the #Indian peninsula. It is flanked by the Arabian Sea on the west, #Karnataka on the north and #northeast, and Tamil Nadu on the east.
Its location gives its unique #climate and #geographical features. 
https://t.co/EfAaPl1y9y","['Kerala', 'southwestern', 'Indian']",Twitter Web App
17,Lyn Ruelo,,,False,2022-09-27 04:43:19+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
18,karen king,,,False,2022-09-27 04:42:56+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
19,BEAST1 🧡💙💚💜💗,All over the Globe...,"MindLifeStuff channel postponed indefinately.
Exploring the Human condition, UBI, AI, AGI, RBE, Stairs, Life. EV's & SpaceX . Does it work for everyone 🤔",False,2022-09-27 04:42:55+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter Web App
20,Laurence MALA,"Alcobendas, Espagne","L'ère du Thanatocrate a-t-elle sonné ? D'une passeuse de savoirs à un autre... 
Yoga🕉️ Taichi ☯️ aussi",False,2022-09-27 04:42:43+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
21,Kilikikero,,"The only demonstration of love is sacrifice.  All else is but affection.
What is grief, if not love persevering?
Life is suffering.  Acceptance is peace.",False,2022-09-27 04:42:40+00:00,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,['renewables'],Twitter Web App
22,Kamil Mroczkowski,,#CreativeSociety,False,2022-09-27 04:41:44+00:00,"RT @UnitExpEmerServ: ❓Why was there no early #warning &amp; timely evacuation of #people?
If we combine the #experience of all #EmergencyServic…","['warning', 'people', 'experience']",Twitter for Android
23,Theo Wassenaar,"Windhoek, Namibia & Gobabeb","Science, dryland ecology, 🚴. #biodiversity, #restoration, #ecophys, #climate, arid rangelands, #water. And cycling. Prof at #NUST. Tweets my own",False,2022-09-27 04:41:31+00:00,"RT @UNCCD: 🚨 The world is falling behind on achieving Sustainable Development Goals. 

🌱 Land restoration offers a holistic solution. It br…",,Twitter Web App
24,Sahar Habib Ghazi,"Karachi, Pakistan",@viceworldnews South Asia editor. Comedian sometimes. Mother to a 10-year-old koala all the time. @globalvoices @JSKstanford @umich @dawn_news alum,True,2022-09-27 04:40:40+00:00,RT @sabaeitizaz: A third of #Pakistan is underwater due to cataclysmic floods. For a country whose contribution to global emissions is less…,['Pakistan'],Twitter for iPhone
25,Moreton Climate Action Now,,Moreton Climate Action Now  campaign urges the Moreton Bay City Council to declare a climate emergency and and take stronger steps to meet climate action goals.,False,2022-09-27 04:40:21+00:00,"RT @MikeHudema: This former open-cast lignite mine is going to be converted into the largest #renewable power plant in Europe - 650 MW. 

W…",['renewable'],Twitter for Android
26,ginavp,,,False,2022-09-27 04:40:06+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for iPhone
27,Sali Crop,,"Salicrop is an innovative seed enhancement startup, using tailor made formulation to influence crop.",False,2022-09-27 04:39:54+00:00,"Without immediate #climate action, #global food insecurity is only going to worsen. #Food security, especially in low-lying coastal areas and small #islands, is intrinsically tied to climate change and #sea level rise https://t.co/7FlvG2iZWN","['climate', 'global', 'Food']",Twitter Web App
28,Kai Bates 🇺🇦,"Berlin, Germany","Urban Designer relocated from the U.S. focusing on pedestrianization, protected bike lanes, and sustainable & livable cities. 🚭",False,2022-09-27 04:39:17+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for iPhone
29,☀️ Carl Siegrist,"Bainbridge Island, Washington","#RenewableEnergy strategist - retired. #SolarPower advocate. Former Board member @IRECUSA, @SEPAPower, @NABCEP & @RENEW_Wisconsin. All opinions & tweets my own.",False,2022-09-27 04:39:16+00:00,"Just about everybody understands that getting off #FossilFuels is central to our #climate goals. What few people understand, however, is that we won’t be able to do it without fundamentally changing our buildings.
https://t.co/v5ylfdGCS3 #ElectrifyEverything #RenewableEnergy","['FossilFuels', 'climate']",Twitter for Android
30,Soumya Ranjan Biswal 🇺🇳🇮🇳,"Puri, India",UN @YuWaahIndia Advocate 🇺🇳🇮🇳 | @TimesNow Amazing Indians Award 2022 - Environment | Climate Action | SDG 14 | Limca Book Record | Founder: @OdishaSeaTurtle,False,2022-09-27 04:39:10+00:00,"RT @Sdg13Un: #GlobalWarming

Humanity healed the #ozone hole. 
Can we do the same for #climate change?
 
via 
@physorg_com 
https://t.co/kH…","['GlobalWarming', 'ozone', 'climate']",Twitter for Android
31,Jean Proudman,,,False,2022-09-27 04:39:07+00:00,"RT @MikeHudema: Last year the world's largest iceberg, 8 times the size of New York, containing a trillion tons of ice, melted completely.…",,Twitter for iPad
32,"Raji Pillai, PhD she/ her","New Delhi, Delhi","Director @orfgeotech CSST @orfonline; senior AsiaDefence writer @Diplomat; Board of Advisors @NBRnews Member,Editorial Board of Asian Security; fmr UNGGE PAROS",False,2022-09-27 04:38:08+00:00,"RT @ORFMumbai: .@harshvshringla: Whether in the #Gulf or the sub-continent, the consequences of #climate change are being felt everywhere.…","['Gulf', 'climate']",Twitter for iPhone
33,CASPR: Climate and Sustainability Policy Research,"Adelaide, South Australia",CASPR is committed to advancing evidence-based policymaking for issues concerning the environment and sustainability. #climate #sustainability #policy #research,False,2022-09-27 04:37:18+00:00,"RT @flindersbgl: Thinking about doing a #PhD? Meet some of amazing PhD supervisors. First up @cassandra_star Director, the Climate &amp; Sustai…",['PhD'],Twitter Web App
34,Progressive Global Commons,Global,"PROGRESSIVE GLOBAL COMMONS - Engine of Solidarity & Empowerment for Global Progressive/Left/Socialist Activist, DSA, DiEM25 & the PROGRESSIVE INTERNATIONAL",False,2022-09-27 04:37:10+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter Web App
35,🕊Tara Rose,,,False,2022-09-27 04:36:15+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for iPad
36,scottiebruv,"Nordrhein-Westfalen, Deutschla","Sir Darnley's Watson Whodunit,        
                                                                     cousin of beloved late
💖Morris the Brain🌈",False,2022-09-27 04:35:50+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for Android
37,Amy Woodson-Boulton,"Santa Monica, CA","History prof @ LMU: author Transformative Beauty, hist of museums, anthropology & environment. End fossil fuels & protect democracy. #HistorianRebellion",False,2022-09-27 04:35:44+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for iPhone
38,Cheryl Marshall,"Blaine, WA","a true Taurus, honest to a fault, former business owner, animal lover especially horses, dogs, Whales, bears wolves I am antifa & we'll fight fascism #Resister",False,2022-09-27 04:35:44+00:00,"RT @VegasVisions: On Eve of Senate Vote, #Climate Campaigners Make 'Big Push' Against Manchin 'Dirty Deal'

https://t.co/TR6Ozcz0xN via @co…",['Climate'],Twitter for Android
39,Snehesh Alex Philip,New Delhi,"Deputy Editor @ThePrintIndia. Earlier: Also, Pakistan Correspondent @PTI_News in Islamabad. Tweets are personal. ✍️ to snehesh.philip@theprint.in",True,2022-09-27 04:35:17+00:00,"RT @samirsaran: A nexus of multiple crises: #Energy, #Debt, #Climate, #Food- Can the #G20 respond?

#Multilateralism undone by its custodia…","['Energy', 'Debt', 'Climate', 'Food', 'G20', 'Multilateralism']",Twitter for iPhone
40,Mo James Apted,Thailand - Madagascar - Egypt,... all things communication ...,False,2022-09-27 04:35:13+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
41,ALBERTO PALACIOS,,,False,2022-09-27 04:35:03+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for Android
42,Colleen Jennings Suljic,"San Diego, CA","Princeton University Press, Chief of Digital Marketing Strategy",False,2022-09-27 04:34:58+00:00,"RT @PrincetonUPress: We are proud to share our collection of curated climate publications, which ignite conversations and actions. https://…",,Twitter for iPhone
43,karyl dowd,,,False,2022-09-27 04:34:45+00:00,"RT @realFaisalKhan: #FloodsInPakistan, 33 million people have no home, their dreams &amp; homes swept away! This #Climate catastrophe seek #UN…","['FloodsInPakistan', 'Climate', 'UN']",Twitter Web App
44,Kaj Embren,"London, United Kingdom",Senior Advisor with 30+ years experience in environment and climate change. Podcast Transformers at https://t.co/p1n25gckhW - LinkedIn https://t.co/XrgQ7egn1C,False,2022-09-27 04:34:35+00:00,"RT @KajEmbren: Head of World Bank under pressure after White House condemns his ‘climate denial’ comments via @fionaharvey @guardian 
https…",,Twitter for iPhone
45,Hannah Askew,Coast Salish territories,"Executive director @Sierraclubbc, former environmental lawyer. Learning how to be a good relative.",False,2022-09-27 04:34:30+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for iPhone
46,ORF Mumbai,"Mumbai, India","Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance",True,2022-09-27 04:34:25+00:00,".@harshvshringla: Whether in the #Gulf or the sub-continent, the consequences of #climate change are being felt everywhere. As we recover from the #pandemic, sound policies have helped us fair well during this challenging period.

#ASD2022 https://t.co/5oiMz8SyHV","['Gulf', 'climate']",Twitter Web App
47,mother of magpies,"Naarm, on Wurundjeri land","hayleys a friend to birds and beasts, magpies are our friends and so is the Earth, magpie mindset thinker",False,2022-09-27 04:33:50+00:00,RT @pollyjhemming: Aus has an arbitrary defence spending 'target' of 2% of GDP every yr ($48bil in 2021) – for stuff we'll probably never u…,,Twitter for iPhone
48,Gerd,Germany,,False,2022-09-27 04:33:23+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for iPhone
49,Progressive Global Commons,Global,"PROGRESSIVE GLOBAL COMMONS - Engine of Solidarity & Empowerment for Global Progressive/Left/Socialist Activist, DSA, DiEM25 & the PROGRESSIVE INTERNATIONAL",False,2022-09-27 04:33:19+00:00,"RT @MikeHudema: Keep in mind, the heatwaves, wildfires, droughts happening across the world are within ""safe"" climate change of 1.2°C warmi…",,Twitter Web App
50,madhumithaa,,"Sustainability Strategist + Atlantic Fellow @LSEInequalities, researching sand/extractive resource inequalities & land/food justice in SE Asia, views my own",False,2022-09-27 04:33:08+00:00,RT @fuiin: Register for the climate change conference to take 'em all! @Peasant_Journal and partners announces the international online con…,,Twitter for iPhone
51,Tom Gillispie -- NATURE NEEDS OUR HELP,"Rural Hall, North Carolina, USA","★ BOOSTED ★ DEMOCRACY ★ SCIENCE ★ WRITING ★ DOGS ★ FINS UP!
★ BASEBALL ★ HUMOR ★ SINGING ★ STAR TREK ★ MYSTERIES ★ WESTERNS",False,2022-09-27 04:33:00+00:00,"#climatechange Links to CLIMATE CHANGE AND NATURE #climate #change #global #warming #nature #earth
https://t.co/gS4L5Ydo73
https://t.co/wSC75uUWsc","['climatechange', 'climate', 'change', 'global', 'warming', 'nature', 'earth']",Twitter Web App
52,Peter #Socialist #COYS ⚽️ Climate,,Socialism. Jeremy Corbyn ♥️. Peace and Justice Project,False,2022-09-27 04:32:44+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for iPad
53,Sunrises,"Bloomington, IN","Writer, Mother, Sister, and Friend",False,2022-09-27 04:32:33+00:00,"RT @MikeHudema: This mobile #solar plant can be set up anywhere and generate 3x the power of a domestic solar array.

We have the solutions…",['solar'],Twitter for Android
54,Rust Cohle,"Los Angeles, CA",🇮🇳🇺🇸🇺🇦,False,2022-09-27 04:32:31+00:00,"RT @samirsaran: A nexus of multiple crises: #Energy, #Debt, #Climate, #Food- Can the #G20 respond?

#Multilateralism undone by its custodia…","['Energy', 'Debt', 'Climate', 'Food', 'G20', 'Multilateralism']",Twitter for iPhone
55,Wendy,,,False,2022-09-27 04:32:30+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for iPhone
56,Peter #Socialist #COYS ⚽️ Climate,,Socialism. Jeremy Corbyn ♥️. Peace and Justice Project,False,2022-09-27 04:32:23+00:00,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,['renewables'],Twitter for iPad
57,BronMac,,"Living on Wurunjeri land, cares about this planet, wants to see an end to native forest logging as a matter of urgency, super scared about the #ClimateCrisis",False,2022-09-27 04:31:54+00:00,RT @pollyjhemming: Aus has an arbitrary defence spending 'target' of 2% of GDP every yr ($48bil in 2021) – for stuff we'll probably never u…,,Twitter for iPhone
58,Parents for Future Hamburg #P4Fhamburg,"Hamburg, Deutschland","Erwachsene aus Hamburg und Umgebung mit viel Energie - enorm aktiv - zusammen mit #FFF - FÜR 1,5 Grad 💚🌳 und unseren unglaublichen Planeten",False,2022-09-27 04:31:19+00:00,"RT @MikeHudema: Keep in mind, the heatwaves, wildfires, droughts happening across the world are within ""safe"" climate change of 1.2°C warmi…",,Twitter Web App
59,💧 ClarenceEnviroCentre,Clarence Valley NSW Australia,"Protecting the flora, fauna and natural landscapes of the Clarence Valley since 1989.
YouTube:  https://t.co/7mleBltZwa… 
Facebook: https://t.co/IuXxhQdioM",False,2022-09-27 04:30:23+00:00,RT @ChristineMilne: Fed Govt approves disastrous projects #Climate #Biodiversity #ThreatenedSpecies but says ‘not our jurisdiction’ as Stat…,"['Climate', 'Biodiversity', 'ThreatenedSpecies']",Twitter Web App
60,Dragoinaki,,,False,2022-09-27 04:30:13+00:00,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,['renewables'],Twitter for iPhone
61,Sali Crop,,"Salicrop is an innovative seed enhancement startup, using tailor made formulation to influence crop.",False,2022-09-27 04:30:05+00:00,"Carmit Oron, CEO of #Salicrop: ""#Climate change, rising transportation prices, severe droughts and heat stress in Europe together with the war in the Ukraine have made headlines concerning the #global shortage of #crop #yield and the need for countries to act for #food security. https://t.co/TBE7MdziPC","['Salicrop', 'Climate']",Twitter Web App
62,Investable Oceans,"New York, NY",Investable Oceans is an investment hub that seeks to bring market-based capital to the oceans.,False,2022-09-27 04:29:48+00:00,"RT @OceanicGlobal: Listening, learning &amp; sharing knowledge is essential for taking action to protect our planet. We are sharing our favorit…",,Twitter for Android
63,Bhupinder Singh,,Iam cool,False,2022-09-27 04:29:34+00:00,"RT @NorthernComd_IA: #Climate may change; Adversaries may change; Places may change, but responsibility of protecting the #Country never ch…","['Climate', 'Country']",Twitter for Android
64,Will,"Davao City, Davao Region","#LettheEarthBreathe
#endfossilfuels",False,2022-09-27 04:29:31+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for Android
65,Paul Nice,"San Rafael, CA",Carpenter/wood salvager/ Reverence for Web of life/ Respect Science- Earths laws / Photography of Nature's majesty,False,2022-09-27 04:29:21+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter for Android
66,Ladybare knuckles,badger land,,False,2022-09-27 04:29:15+00:00,"RT @ArdwickClimate: We met with @sheencr from @OfficialUoM to discuss their contributions to the 2nd October, including monitoring the air…",,Twitter for iPhone
67,Michael D,,,False,2022-09-27 04:28:50+00:00,"RT @EarthKeeper22: When you have to carry your own #water, you #understand the #value of every drop... 🦋LJC

#Climate #FossilFuels #Frackin…","['water', 'understand', 'value', 'Climate', 'FossilFuels']",Twitter for Android
68,Andrew Gichira,"Nairobi, Kenya",Plant Systematics & Evolution||Biodiversity conservation enthusiast||,False,2022-09-27 04:28:47+00:00,"FYI,  global standard for #biodiversity is being created to promote the integration of biodiversity in tree-planting programs, which primarily concentrate on carbon sequestration and improving livelihoods. #shambasystem #conservation #climate  https://t.co/iadmypq9Ny",['biodiversity'],Twitter Web App
69,Shite Buster,Uluṟu - Melanesia Nation.,"Justice for the #Aborigines and other #natives around the world -- who have been chained, enslaved and colonized by Europeans for centuries, to this day.",False,2022-09-27 04:28:36+00:00,"RT @MikeHudema: Keep in mind, the heatwaves, wildfires, droughts happening across the world are within ""safe"" climate change of 1.2°C warmi…",,Twitter for Android
70,SukiFrance,,Humility,False,2022-09-27 04:28:32+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter Web App
71,Jill Davis,"Ontario, Canada","Retired Halton newspaper editor, animal lover, Blue Jays, Golden Knights & Green Bay Packers fan, proud Canadian.",False,2022-09-27 04:28:02+00:00,"RT @gathertonourish: this is devastating. those dunes were home to endangered plovers, and so much wildlife took shelter there. i cannot ev…",,Twitter for iPhone
72,Klimawandel.de,,"Nachrichten zu Klimawandel und Energiewende, zu globaler Erwärmung, Klimaschutz und erneuerbaren Energien, zu aktuellen Klimaveränderungen und Klimaschutz",False,2022-09-27 04:27:56+00:00,"RT @MikeHudema: Keep in mind, the heatwaves, wildfires, droughts happening across the world are within ""safe"" climate change of 1.2°C warmi…",,Twitter Web App
73,LucySays,,"Attack Poochon. Loves: doggie treats. Hates: Tories. Opinions translated from wooferese by my hooman, @daiwillybach",False,2022-09-27 04:27:56+00:00,"RT @MikeHudema: Last year the world's largest iceberg, 8 times the size of New York, containing a trillion tons of ice, melted completely.…",,Twitter for Android
74,Journal of Ecology and Toxicology,,Ecology and Toxicology,False,2022-09-27 04:27:35+00:00,"The #scientists learned from the #Botswana #diamond that the rock has a sizable amount of water at a depth of more than 600 kilometres.
Share your #manuscript @ https://t.co/SLFVDmdAcC for publishing in our journal.
#article #research #ecology #geochemical 
#climate #global #news https://t.co/Z9yQHgiHhH","['scientists', 'Botswana', 'diamond']",Twitter Web App
75,Melissa Hoffman,United States,"Mother, Writer, Biker",False,2022-09-27 04:27:24+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for iPhone
76,Paul Nice,"San Rafael, CA",Carpenter/wood salvager/ Reverence for Web of life/ Respect Science- Earths laws / Photography of Nature's majesty,False,2022-09-27 04:27:23+00:00,"RT @MikeHudema: Keep in mind, the heatwaves, wildfires, droughts happening across the world are within ""safe"" climate change of 1.2°C warmi…",,Twitter for Android
77,"Prof. Kumar, N. (Dean, Faculty of Agriculture)",,"#Plant #Health is our future, 
-Professor of #Plant #Pathology!!
-Love #Humanity,
-#Respect #Relationship, 
-Faith in #Almighty #Lord",False,2022-09-27 04:26:47+00:00,"RT @IFPRISAO: #HappeningNow 
Women farmers are a crucial resource in #agriculture &amp; to build sustainable, #climate-resilient #foodsystems.…","['HappeningNow', 'agriculture', 'climate', 'foodsystems']",Twitter for Android
78,Fred Bentler,Washington,"The world is a vast puzzle, and I like fitting its pieces together.",False,2022-09-27 04:26:30+00:00,"“Fairness and togetherness are needed to bring about peace, love and prosperity in this world,” said Mia Mottley, prime minister of Barbados. “And this is not romanticism. These are hard realities that simply require decisions.”
#Climate #Policy #WellBeing
https://t.co/FVXpTymyi6",,Twitter Web App
79,Tired as fuck,🏳️‍🌈🏳️‍⚧️🏴‍☠️🌊⛵️🏝💋,Bear onna a bike w/ a boat ... J'ecrie pour encourager les otters. Queer as in a la lanterne. Dog Mom a.f Cis a.f. Intolerant of intolerance. She/her/elle/sa.,False,2022-09-27 04:26:20+00:00,"RT @annackeenan: It’s been 2.5 days since Hurricane #Fiona hit. 

My rural community, like most of #PEI, lost power.

I want to talk about…","['Fiona', 'PEI']",Twitter Web App
80,ArtsWestchester,"Westchester County, NY","ArtsWestchester is your connection to the arts: theater, dance, visual art, music and more. Publisher of ArtsNews monthly newspaper.",False,2022-09-27 04:26:14+00:00,RT @HVWritersCenter: Join @BK_Fischer on October 22 for a FREE multigenerational (age 12+) ECO WRITING workshop! You'll start at HVWC &amp; wal…,,Twitter for iPhone
81,Håkan Agnevall,Helsinki / Helsingfors ,"President & CEO, Wärtsilä Corporation (@wartsilacorp).
Passionate about decarbonising the energy and maritime sectors. 
#decarbonisation #decarbonization",False,2022-09-27 04:26:08+00:00,"Islands like #GrandCayman in the #Caribbean demonstrate the importance of energy independence in the face of #climate change. @WartsilaEnergy's 2 x 10MW/10MWh #EnergyStorage systems accelerate #decarbonisation while lowering energy costs and improving grid reliability.
#NetZero https://t.co/Lhw9psPjlY","['GrandCayman', 'Caribbean']",Twitter Web App
82,Miranda Thurston,,"Public health, planet, politics, people",False,2022-09-27 04:25:49+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter Web App
83,Manpreet Singh,,Preett__sampla,False,2022-09-27 04:25:49+00:00,"RT @NorthernComd_IA: #Climate may change; Adversaries may change; Places may change, but responsibility of protecting the #Country never ch…","['Climate', 'Country']",Twitter for Android
